visit_id,beneficiary_id,cohort_id,visit_date,officer_name,visit_outcome,gps_latitude,gps_longitude,notes,follow_up_required
FV-002310,BEN-01617,COHORT-PL-001,2026-06-30,Zipporah Onyango,Verified,-1.20165,36.71855,Voluptatem sint nemo dignissimos debitis aspernatur libero error.,
FV-002311,BEN-01618,COHORT-PL-001,2025-10-26,Olive Mwangi,Verified,-1.27346,36.88373,Delectus accusamus rerum possimus perferendis cupiditate.,True
FV-002312,BEN-01619,COHORT-PL-001,2026-05-09,Harrison Rotich,Verified,-1.25563,36.81772,Autem repudiandae amet deserunt fugit.,True
FV-002313,BEN-01619,COHORT-PL-001,2026-04-13,Cynthia Waweru,Verified,-1.29039,36.81191,Aut fugit amet accusamus molestias ipsum officiis animi ut.,False
FV-002314,BEN-01620,COHORT-PL-001,2025-11-01,Nancy Nyambura,Verified,-1.20102,36.80685,Adipisci excepturi recusandae hic rem.,
FV-002315,BEN-01620,COHORT-PL-001,2025-09-29,Irene Odongo,Verified,-1.31906,36.794,Architecto facere illum molestiae adipisci excepturi.,False
FV-002316,BEN-01621,COHORT-PL-001,2026-03-09,Kezia Auma,No Contact,,36.91434,Non adipisci atque doloribus ex reiciendis vitae ad itaque.,False
FV-002317,BEN-01621,COHORT-PL-001,2025-10-25,Mary Nyambura,Referred,-1.37606,36.7425,Itaque deleniti quod omnis cupiditate atque dignissimos repellat necessitatibus quia labore.,False
FV-002318,BEN-01622,COHORT-PL-001,2025-10-29,Brian Kiplagat,Verified,-1.31144,36.72206,Omnis libero delectus ad reprehenderit.,False
FV-002319,BEN-01622,COHORT-PL-001,27-Jun-2026,Stephen Auma,Partially Verified,-1.29868,36.84931,Sit quae eius illum beatae libero necessitatibus molestias.,False
FV-002320,BEN-01623,COHORT-PL-001,2025-11-26,Cynthia Kariuki,Verified,-1.38459,36.7841,Labore ab ducimus doloribus amet.,
FV-002321,BEN-01623,COHORT-PL-001,2026-04-01,Lilian Githinji,Partially Verified,-1.33122,36.88655,Repudiandae quis eos ratione temporibus delectus.,True
FV-002322,BEN-01624,COHORT-PL-001,2025-11-11,Olive Mutua,Partially Verified,-1.23854,36.81381,At id corporis debitis tenetur earum.,True
FV-002323,BEN-01625,COHORT-PL-001,2026-05-13,Mary Mugo,Verified,-1.2501,36.82165,Consequuntur quasi vel quas nesciunt.,False
FV-002324,BEN-01626,COHORT-PL-001,13-Dec-2025,Xavier Kariuki,Partially Verified,-1.29724,36.86428,Quia ipsum sapiente sunt fugiat ad perferendis.,True
FV-002325,BEN-01627,COHORT-PL-001,2025-12-23,James Awino,Verified,-1.23742,36.75967,Odit explicabo atque ullam iusto aspernatur iure repellendus quam.,False
FV-002326,BEN-01627,COHORT-PL-001,08/03/2026,Violet Mwangi,Verified,-1.22264,36.87766,Voluptas perspiciatis earum exercitationem porro.,False
FV-002327,BEN-01628,COHORT-PL-001,2025-08-28,Patrick Mwangi,Partially Verified,-1.24605,36.73774,Molestiae beatae alias autem nemo beatae veritatis modi ullam at.,False
FV-002328,BEN-01628,COHORT-PL-001,11-Jan-2026,Rose Nyambura,Verified,-1.2682,36.79432,Molestiae illo quidem eligendi non modi impedit laboriosam incidunt.,True
FV-002329,BEN-01629,COHORT-PL-001,2026-03-17,Grace Awino,Verified,-1.25034,36.88536,Perferendis consectetur iure voluptatum tenetur magnam earum itaque ad quibusdam.,False
FV-002330,BEN-01630,COHORT-PL-001,2026-04-28,Grace Otieno,Partially Verified,-1.34206,36.83626,Reprehenderit nam at natus nemo laudantium nulla necessitatibus assumenda.,False
FV-002331,BEN-01631,COHORT-PL-001,2025-09-10,Patrick Ochieng,Partially Verified,-1.37079,36.88708,Aliquam illo qui quisquam ut quisquam velit.,
FV-002332,BEN-01631,COHORT-PL-001,25-Jul-2026,Seun Njoroge,Verified,-1.22576,36.87195,Hic vitae numquam rerum quos voluptatem.,False
FV-002333,BEN-01632,COHORT-PL-001,01/09/2025,Yvonne Omondi,Verified,-1.25671,36.82226,Molestiae magni earum velit aliquam culpa dolore.,False
FV-002334,BEN-01632,COHORT-PL-001,2026-02-11,Xavier Wanjiku,No Contact,-1.24647,36.87569,Illum earum deleniti quaerat ab aperiam cumque quia laudantium vel.,False
FV-002335,BEN-01632,COHORT-PL-001,2026-01-06,Leonard Musyoka,Partially Verified,-1.25171,36.80559,Sint facere eveniet soluta quis a.,
FV-002336,BEN-01633,COHORT-PL-001,2026-04-12,Aisha Achieng,Verified,-1.20086,36.79717,Accusantium maxime dolorum eos.,False
FV-002337,BEN-01634,COHORT-PL-001,2025-12-19,Eunice Wanjiku,Verified,-1.23532,36.85883,Iste nisi nostrum a maxime quisquam necessitatibus at.,
FV-002338,BEN-01634,COHORT-PL-001,2026-03-26,Gladys Wanjiku,Verified,-1.3332,36.89854,Blanditiis reiciendis ad veritatis sed fugit quidem.,
FV-002339,BEN-01635,COHORT-PL-001,2026-06-30,Patrick Kamau,Verified,-1.21895,36.76302,Corrupti doloremque placeat dicta itaque rerum perferendis veniam neque itaque quaerat.,
FV-002340,BEN-01635,COHORT-PL-001,2026-05-01,Aisha Kiprotich,Verified,-1.35796,36.86615,Harum molestiae quasi error voluptates.,False
FV-002341,BEN-01636,COHORT-PL-001,2026-01-17,Queen Ochieng,Verified,-1.18909,36.76785,Velit sint molestias laboriosam ducimus.,True
FV-002342,BEN-01636,COHORT-PL-001,2025-10-06,Kezia Odongo,No Contact,-1.26206,36.81292,Aliquam ad nisi sapiente nihil eius dolor.,
FV-002343,BEN-01637,COHORT-PL-001,2026-07-27,Kezia Njenga,No Contact,-1.20852,36.78141,Blanditiis atque rerum veritatis assumenda atque sunt et optio.,True
FV-002344,BEN-01638,COHORT-PL-001,2025-11-04,Harrison Onyango,Verified,-1.23167,36.8178,Officia possimus ex consequuntur nemo rem corrupti accusantium odio rem.,False
FV-002345,BEN-01639,COHORT-PL-001,2025-10-07,Yvonne Wangari,Verified,-1.27413,36.91519,Architecto dignissimos quis eius.,False
FV-002346,BEN-01639,COHORT-PL-001,09/11/2025,Caroline Odongo,Partially Verified,-1.28274,36.82878,Adipisci eum velit non dolorum neque provident sint.,False
FV-002347,BEN-01640,COHORT-PL-001,2026-01-25,Nancy Mutua,Verified,-1.30371,36.90257,Ipsam quaerat atque mollitia eaque officia accusamus consequuntur quo.,True
FV-002348,BEN-01641,COHORT-PL-001,2026-05-27,Tabitha Adhiambo,Verified,-1.35899,36.90607,Porro corrupti consequuntur dolore ipsum.,True
FV-002349,BEN-01641,COHORT-PL-001,2026-02-23,Grace Njenga,Verified,-1.23347,36.8411,Voluptas corrupti tempora consequuntur minus magnam architecto.,
FV-002350,BEN-01642,COHORT-PL-001,2025-09-15,Seun Githinji,Verified,-1.31509,36.78902,Porro temporibus iusto ratione facere voluptas illum.,True
FV-002351,BEN-01643,COHORT-PL-001,2025-11-18,David Onyango,Verified,-1.2961,36.84354,Veritatis dolore voluptatum accusantium eos cum.,True
FV-002352,BEN-01643,COHORT-PL-001,2026-04-25,Brian Ochieng,Partially Verified,-1.24566,36.91268,Voluptatibus nam consequuntur praesentium autem.,True
FV-002353,BEN-01643,COHORT-PL-001,2026-03-11,Uchenna Njenga,partial,-1.2291,36.73172,Placeat vel occaecati ratione voluptate.,True
FV-002354,BEN-01644,COHORT-PL-001,2026-06-29,Irene Nyambura,Verified,-1.28633,36.85116,Natus enim sint id sunt aperiam nobis dolor.,True
FV-002355,BEN-01644,COHORT-PL-001,2025-09-28,Irene Mwangi,Partially Verified,-1.2423,36.80086,Incidunt ad assumenda natus minima itaque adipisci.,
FV-002356,BEN-01644,COHORT-PL-001,2025-09-03,Irene Rotich,Verified,-1.19263,36.88447,Dicta temporibus necessitatibus voluptatibus occaecati architecto.,False
FV-002357,BEN-01646,COHORT-PL-001,11/01/2026,Hassan Musyoka,Verified,,36.84681,Commodi omnis eaque minus fugiat.,True
FV-002358,BEN-01647,COHORT-PL-001,2025-11-14,Dennis Otieno,Verified,-1.30189,36.7942,Quasi ipsa eveniet veritatis quo quas voluptate ea fugit.,False
FV-002359,BEN-01648,COHORT-PL-001,2025-08-29,Maurice Were,Verified,-1.34081,36.76283,Voluptas esse debitis corporis ipsam.,True
FV-002360,BEN-01650,COHORT-PL-001,2026-08-16,Kezia Mwangi,Partially Verified,-1.28292,36.90097,Sequi error repudiandae ad numquam ex ab.,False
FV-002361,BEN-01650,COHORT-PL-001,2026-06-21,David Kiplagat,Verified,-1.34575,36.87095,Quaerat reiciendis voluptatem vitae est sapiente ea expedita vero.,False
FV-002362,BEN-01650,COHORT-PL-001,2026-07-07,Harrison Maina,Partially Verified,-1.248,36.74462,Laudantium illum cumque velit quidem.,True
FV-002363,BEN-01651,COHORT-PL-001,04-Jan-2026,Uchenna Kiplagat,Verified,-1.30123,36.89388,Repudiandae pariatur delectus iste a hic.,True
FV-002364,BEN-01651,COHORT-PL-001,2026-02-11,Gladys Njoroge,Verified,-1.26588,36.87249,Provident harum expedita praesentium id corrupti consectetur voluptates vero.,True
FV-002365,BEN-01652,COHORT-PL-001,2026-04-11,Mary Chebet,Verified,-1.28954,36.84358,Sunt sunt illum molestias magni sapiente ratione eos iusto aspernatur cum.,False
FV-002366,BEN-01653,COHORT-PL-001,2026-01-17,Violet Mwangi,Partially Verified,-1.19942,36.73498,Odit facere alias voluptate autem.,
FV-002367,BEN-01654,COHORT-PL-001,2026-01-14,Maurice Were,Verified,-1.33349,36.72772,Esse natus voluptatibus voluptate commodi et earum distinctio amet quas.,True
FV-002368,BEN-01654,COHORT-PL-001,2026-03-25,Owen Nyambura,Verified,-1.28496,36.87715,Molestias veniam corrupti excepturi odio sapiente non quibusdam.,
FV-002369,BEN-01654,COHORT-PL-001,2026-07-03,Violet Wangari,partial,-1.36076,36.75909,Explicabo nemo cupiditate voluptas optio eius.,True
FV-002370,BEN-01655,COHORT-PL-001,2026-02-08,Violet Kariuki,No Contact,-1.34055,36.84495,Odit at commodi perferendis nostrum quo molestias.,
FV-002371,BEN-01656,COHORT-PL-001,2025-11-25,Queen Adhiambo,Verified,-1.38232,36.74099,Minus iure a pariatur doloremque.,True
FV-002372,BEN-01656,COHORT-PL-001,2025-09-11,Nancy Onyango,Verified,-1.37776,36.83105,Excepturi nesciunt enim soluta magnam debitis aperiam.,
FV-002373,BEN-01657,COHORT-PL-001,2025-10-20,Gladys Kiprotich,Verified,-1.23174,36.9127,Eius reiciendis modi voluptatibus illo sint accusantium sed repellendus voluptatibus.,
FV-002374,BEN-01657,COHORT-PL-001,2025-09-26,Nancy Were,Verified,-1.33418,36.8821,At repellendus fuga deserunt quibusdam aspernatur.,True
FV-002375,BEN-01659,COHORT-PL-001,2026-07-10,Leonard Kariuki,Verified,-1.21728,36.75605,Doloribus adipisci provident amet nostrum veritatis.,False
FV-002376,BEN-01659,COHORT-PL-001,2025-11-27,Cynthia Waweru,No Contact,,36.82086,A veniam libero aut quas sit harum voluptates dicta.,True
FV-002377,BEN-01659,COHORT-PL-001,2026-04-03,Quinton Kiprotich,Verified,-1.32436,36.87337,Voluptatum dicta nisi mollitia nihil.,False
FV-002378,BEN-01660,COHORT-PL-001,2026-03-21,Owen Njenga,Verified,,36.86891,Totam amet at eius vel distinctio ullam labore blanditiis autem.,False
FV-002379,BEN-01660,COHORT-PL-001,27-Jul-2026,Caroline Achieng,Verified,-1.1861,36.90085,Quibusdam nihil iure officiis impedit quos autem occaecati harum.,
FV-002380,BEN-01661,COHORT-PL-001,2026-06-25,Nancy Simiyu,Verified,,36.81918,Quis velit placeat nulla quibusdam amet.,True
FV-002381,BEN-01661,COHORT-PL-001,17-Jan-2026,Queen Odongo,Verified,-1.25715,36.9018,Ea neque eligendi voluptatem iure minima sint ullam occaecati.,True
FV-002382,BEN-01662,COHORT-PL-001,2025-11-04,Owen Ochieng,Verified,-1.30651,36.71908,Dignissimos ipsa dolore minus provident.,True
FV-002383,BEN-01663,COHORT-PL-001,2026-01-19,Kezia Were,Partially Verified,-1.37865,36.88451,Labore cumque minus sint.,
FV-002384,BEN-01663,COHORT-PL-001,2026-04-07,Nancy Odongo,Verified,-1.21699,36.91302,Minima a consequuntur iusto quis quaerat iusto veniam autem.,
FV-002385,BEN-01664,COHORT-PL-001,2026-08-01,Nicholas Kariuki,Verified,-1.28275,36.76465,Mollitia maiores quod iusto rerum.,False
FV-002386,BEN-01664,COHORT-PL-001,2025-08-30,Wanjiku Kiprotich,Verified,-1.3046,36.86285,Tempora perspiciatis soluta nihil voluptates dolorum.,False
FV-002387,BEN-01665,COHORT-PL-001,2026-07-05,Caroline Kiprotich,Partially Verified,-1.23672,36.77973,Quod modi laborum saepe aliquam soluta nam autem temporibus.,
FV-002388,BEN-01666,COHORT-PL-001,2026-03-17,Joseph Kariuki,Verified,-1.36479,36.87906,Reiciendis molestias perferendis quaerat facilis explicabo.,True
FV-002389,BEN-01666,COHORT-PL-001,2026-02-02,Esther Otieno,Verified,-1.22201,36.9036,Adipisci cumque ducimus sint deserunt quisquam distinctio hic delectus.,True
FV-002390,BEN-01667,COHORT-PL-001,2026-06-06,Caroline Rotich,Verified,-1.22786,36.75143,Hic alias voluptatibus nobis quis mollitia.,True
FV-002391,BEN-01667,COHORT-PL-001,2026-06-27,Seun Onyango,Verified,-1.21072,36.8819,Ea pariatur accusantium reiciendis placeat explicabo ipsa porro doloribus.,
FV-002392,BEN-01668,COHORT-PL-001,19-Oct-2025,Irene Kimani,Verified,-1.35086,36.77093,Possimus velit velit at amet blanditiis illo error.,False
FV-002393,BEN-01669,COHORT-PL-001,2026-04-23,Irene Githinji,Verified,-1.30459,36.73411,Harum a unde dolor facilis voluptatem.,True
FV-002394,BEN-01670,COHORT-PL-001,2026-02-06,Olive Omondi,No Contact,-1.21633,36.79413,Quisquam tempora culpa sed praesentium possimus nulla sint neque enim.,True
FV-002395,BEN-01670,COHORT-PL-001,2025-09-12,Stephen Kimani,Verified,-1.29313,36.88244,Magnam dolore ab totam qui nobis repellat.,False
FV-002396,BEN-01671,COHORT-PL-001,2025-12-04,Boniface Njoroge,Verified,-1.35849,36.81579,Et dolorem corporis fuga.,True
FV-002397,BEN-01672,COHORT-PL-001,2026-02-15,Amina Mugo,Verified,-1.18998,36.78423,Fugiat quaerat quis quaerat voluptatibus.,
FV-002398,BEN-01672,COHORT-PL-001,2025-10-16,Raphael Gichuki,Verified,-1.29316,36.84792,Illo recusandae doloremque sint nostrum ex est.,False
FV-002399,BEN-01673,COHORT-PL-001,2025-08-30,Irene Chebet,Partially Verified,-1.24686,36.77533,Atque eveniet reprehenderit sunt eius.,
FV-002400,BEN-01674,COHORT-PL-001,2026-03-16,Tabitha Ndung'u,Verified,-1.26067,36.82118,In quisquam culpa magni repellat ratione sequi commodi iusto.,True
FV-002401,BEN-01674,COHORT-PL-001,2026-03-11,Owen Rotich,Referred,-1.22783,36.7558,Excepturi quia totam beatae molestias asperiores ipsum laudantium rem consequatur.,False
FV-002402,BEN-01675,COHORT-PL-001,22-Dec-2025,Aisha Nyambura,Partially Verified,-1.21479,36.83182,Fuga natus magni exercitationem ea fugiat vel aliquid perferendis nisi.,
FV-002403,BEN-01675,COHORT-PL-001,2025-09-11,Joseph Kariuki,Referred,-1.28302,36.82107,Dolorem fugit corrupti ratione ipsa qui.,
FV-002404,BEN-01675,COHORT-PL-001,2026-03-23,Francis Gichuki,Verified,-1.32431,36.90434,Quo in iure consequuntur facere ipsam ad dignissimos.,False
FV-002405,BEN-01676,COHORT-PL-001,2025-09-22,Quinton Adhiambo,No Contact,-1.21806,36.81631,Iure facere rem quidem laboriosam voluptatum quibusdam laboriosam quam.,True
FV-002406,BEN-01677,COHORT-PL-001,2026-02-12,Francis Rotich,verified,-1.27835,36.83633,Atque et voluptatem minus quod suscipit.,True
FV-002407,BEN-01678,COHORT-PL-001,2025-12-03,Brian Were,Partially Verified,-1.35803,36.74599,Reprehenderit saepe magnam eveniet itaque debitis amet.,True
FV-002408,BEN-01679,COHORT-PL-001,2026-01-01,Kezia Odongo,Verified,-1.26657,36.7343,Cupiditate ea quibusdam placeat illo corporis iste nam rerum voluptatum.,
FV-002409,BEN-01680,COHORT-PL-001,2026-04-23,Owen Auma,Verified,-1.20756,36.84684,Impedit dolorum ab officiis fugiat dignissimos laboriosam architecto rerum.,True
FV-002410,BEN-01680,COHORT-PL-001,2026-03-13,Grace Were,Verified,-1.20848,36.83609,Velit dignissimos molestias ullam labore porro.,
FV-002411,BEN-01682,COHORT-PL-001,2025-09-14,Leonard Achieng,Verified,-1.29806,36.84957,Nobis dolor minus quam saepe non illo perferendis.,
FV-002412,BEN-01682,COHORT-PL-001,2025-10-30,Leonard Githinji,No Contact,,36.90917,Reiciendis maxime vel voluptatibus nihil.,
FV-002413,BEN-01682,COHORT-PL-001,2026-07-27,Kendi Kiplagat,Referred,-1.20411,36.90951,Debitis possimus quod quod ea expedita ad.,
FV-002414,BEN-01683,COHORT-PL-001,2026-03-11,Raphael Kamau,No Contact,-1.38091,36.82116,Velit nobis corporis dicta in assumenda temporibus nisi ipsum veritatis.,True
FV-002415,BEN-01684,COHORT-PL-001,2025-11-04,Queen Onyango,no contact,-1.34941,36.85244,Et placeat qui illum.,False
FV-002416,BEN-01685,COHORT-PL-001,2026-07-18,Maurice Chebet,Verified,-1.18722,36.80443,Qui magnam sunt libero excepturi.,False
FV-002417,BEN-01685,COHORT-PL-001,04/02/2026,Tabitha Mwangi,No Contact,-1.32319,36.72615,Culpa sed nesciunt sint dolores quos ea.,True
FV-002418,BEN-01685,COHORT-PL-001,2026-03-18,Joseph Simiyu,Verified,-1.19559,36.75673,Labore similique quibusdam consectetur quas debitis.,
FV-002419,BEN-01687,COHORT-PL-001,2026-03-07,Kezia Rotich,Verified,-1.26878,36.7298,Cupiditate officia laboriosam autem asperiores iure.,
FV-002420,BEN-01687,COHORT-PL-001,2026-05-01,Irene Musyoka,verified,-1.34171,36.85492,Officiis laudantium non voluptas autem cum quod culpa.,
FV-002421,BEN-01688,COHORT-PL-001,2025-10-14,Harrison Were,Verified,-1.35767,36.74923,Fuga enim saepe illo mollitia adipisci cupiditate aut incidunt neque.,
FV-002422,BEN-01688,COHORT-PL-001,2026-04-02,Patrick Kimani,Verified,-1.38132,36.82956,Nesciunt rem deleniti tempore quia voluptatum.,
FV-002423,BEN-01689,COHORT-PL-001,31-Jul-2026,Rose Githinji,Verified,-1.28313,36.79326,Recusandae accusamus voluptatum tempora delectus id libero aspernatur in ad.,
FV-002424,BEN-01690,COHORT-PL-001,16/01/2026,Mary Ndung'u,Verified,-1.28933,36.80815,Iste sunt quis ullam rem.,False
FV-002425,BEN-01690,COHORT-PL-001,2026-04-03,David Awino,Verified,-1.33245,36.75108,Id deserunt suscipit aliquam exercitationem.,True
FV-002426,BEN-01692,COHORT-PL-001,2025-10-22,James Musyoka,Verified,-1.30755,36.76046,Velit enim dicta delectus.,False
FV-002427,BEN-01692,COHORT-PL-001,2026-06-25,Amina Mwangi,Partially Verified,-1.28746,36.71754,Delectus totam fugiat dolore beatae repellat cum eius ipsam.,False
FV-002428,BEN-01692,COHORT-PL-001,01/01/2026,Gladys Kiprotich,Partially Verified,-1.21354,36.79889,Totam a dolore natus qui quidem eveniet.,
FV-002429,BEN-01693,COHORT-PL-001,2026-04-23,Tabitha Adhiambo,Verified,-1.24983,36.73637,Culpa expedita quas repellendus mollitia.,True
FV-002430,BEN-01694,COHORT-PL-001,2026-08-13,Uchenna Were,Verified,-1.2662,36.81324,Praesentium dolor non consectetur praesentium.,False
FV-002431,BEN-01694,COHORT-PL-001,2025-09-18,Owen Adhiambo,Verified,-1.3686,36.9008,Debitis similique cum nemo reprehenderit dolore officiis error quo.,
FV-002432,BEN-01695,COHORT-PL-001,2026-02-11,Olive Achieng,Verified,-1.31771,36.88376,Animi rerum quaerat iste officia reprehenderit iste cumque officia.,True
FV-002433,BEN-01695,COHORT-PL-001,2025-10-02,Tabitha Were,Verified,-1.24182,36.89795,Voluptate nihil eaque quibusdam nesciunt ad quam magni.,
FV-002434,BEN-01696,COHORT-PL-001,18-Feb-2026,Amina Ochieng,Partially Verified,-1.37325,36.75265,Ipsa repellendus in libero facilis impedit sit cumque molestias pariatur.,
FV-002435,BEN-01696,COHORT-PL-001,2026-02-04,Wanjiku Chebet,Partially Verified,-1.36844,36.7665,Natus sapiente cupiditate aliquid delectus.,False
FV-002436,BEN-01697,COHORT-PL-001,2026-05-14,Brian Wangari,Verified,-1.24663,36.88838,Temporibus quod velit sunt dolores.,False
FV-002437,BEN-01698,COHORT-PL-001,2026-01-07,Olive Achieng,Verified,-1.28735,36.78693,Eius molestiae totam nesciunt cupiditate.,False
FV-002438,BEN-01699,COHORT-PL-001,2026-04-17,Hassan Chebet,Partially Verified,-1.38501,36.89123,Expedita deserunt dignissimos ab cumque facere.,False
FV-002439,BEN-01699,COHORT-PL-001,2025-10-13,Wanjiku Mutua,Partially Verified,-1.36852,36.81306,Culpa fugiat officiis ex sequi.,True
FV-002440,BEN-01699,COHORT-PL-001,2026-01-20,Kezia Njoroge,Verified,-1.38582,36.88473,Beatae suscipit dolorem excepturi eveniet.,False
FV-002441,BEN-01700,COHORT-PL-001,2026-01-09,Kendi Kimani,Verified,-1.19311,36.79575,Dolorem illo magnam mollitia nam.,
FV-002442,BEN-01700,COHORT-PL-001,13-Mar-2026,Lilian Achieng,No Contact,-1.33547,36.72906,Numquam quidem doloribus soluta eos doloribus.,False
FV-002443,BEN-01701,COHORT-PL-001,2026-07-12,Felix Omondi,Verified,-1.22513,36.88988,Nihil consequatur repellat ad natus qui.,False
FV-002444,BEN-01702,COHORT-PL-001,2025-11-14,Patrick Mutua,Partially Verified,-1.20541,36.89184,Commodi rerum ratione quibusdam at sunt animi.,False
FV-002445,BEN-01703,COHORT-PL-001,2026-02-12,James Simiyu,Verified,-1.3835,36.84416,Quibusdam hic tenetur nostrum nostrum veritatis blanditiis doloribus.,
FV-002446,BEN-01703,COHORT-PL-001,2025-11-22,Grace Auma,Verified,-1.32224,36.86181,Illo asperiores itaque nihil eius aperiam accusamus delectus quod.,False
FV-002447,BEN-01704,COHORT-PL-001,2025-12-17,Irene Owino,Verified,-1.32435,36.88776,Odit necessitatibus temporibus exercitationem voluptates atque consequatur.,
FV-002448,BEN-01705,COHORT-PL-001,2026-03-20,Kendi Otieno,Referred,-1.25354,36.87327,Ipsum praesentium aut fuga quam consectetur incidunt veritatis.,True
FV-002449,BEN-01705,COHORT-PL-001,2025-10-02,Raphael Kiprotich,Verified,-1.20634,36.89481,Et pariatur magni ullam dolorum aut temporibus praesentium tempora.,False
FV-002450,BEN-01706,COHORT-PL-001,2025-12-19,Nancy Owino,Partially Verified,-1.2068,36.73027,Blanditiis repellat dolorem a nihil optio sunt temporibus et.,True
FV-002451,BEN-01706,COHORT-PL-001,2025-12-12,Lilian Mutua,No Contact,-1.18974,36.80695,Earum deleniti provident aperiam porro similique.,True
FV-002452,BEN-01706,COHORT-PL-001,2025-10-03,Wanjiku Waweru,Verified,-1.25976,36.8244,Ab atque distinctio quo aut odit error pariatur.,True
FV-002453,BEN-01707,COHORT-PL-001,2026-07-12,Quinton Kiplagat,Verified,-1.36908,36.83202,Maxime ipsam totam itaque consequuntur.,
FV-002454,BEN-01707,COHORT-PL-001,2026-02-04,Eunice Kiprotich,Verified,-1.31623,36.88632,Non consectetur possimus dolorum consectetur voluptas magnam dolores repellendus.,
FV-002455,BEN-01708,COHORT-PL-001,03-Aug-2026,Hassan Mugo,partial,-1.2693,36.89173,Reiciendis eum ut recusandae nihil quasi voluptas esse molestiae laudantium inventore.,False
FV-002456,BEN-01709,COHORT-PL-001,2026-02-17,Cynthia Waweru,No Contact,-1.20263,36.83701,Repudiandae dicta distinctio doloremque cumque nihil nam explicabo.,True
FV-002457,BEN-01712,COHORT-PL-001,2026-05-24,Patrick Adhiambo,Verified,-1.36892,36.78793,Sit velit cumque iusto molestiae enim inventore animi.,False
FV-002458,BEN-01713,COHORT-PL-001,2026-05-13,Joseph Owino,No Contact,-1.37829,36.84637,Ex magnam quos quasi minus repudiandae molestiae voluptate eum ipsa.,True
FV-002459,BEN-01713,COHORT-PL-001,2025-11-25,Nicholas Kariuki,Verified,-1.23732,36.88266,Consequatur ratione accusantium magni id commodi nesciunt cumque esse.,True
FV-002460,BEN-01714,COHORT-PL-001,2026-03-28,Dennis Kariuki,Verified,-1.29773,36.87822,Similique odit eum fuga ratione hic.,False
FV-002461,BEN-01714,COHORT-PL-001,2025-09-09,Leonard Rotich,Verified,-1.38539,36.89819,Culpa delectus expedita quidem modi explicabo recusandae ut illo quidem.,True
FV-002462,BEN-01715,COHORT-PL-001,2026-02-12,Yvonne Rotich,Verified,-1.30753,36.86145,Ipsum mollitia deleniti quis sunt officia at.,
FV-002463,BEN-01716,COHORT-PL-001,2026-02-05,Maurice Njoroge,Referred,-1.32601,36.89431,Recusandae doloribus earum enim nemo nisi.,False
FV-002464,BEN-01716,COHORT-PL-001,2026-01-13,Amina Kiplagat,Verified,-1.30399,36.87489,Non omnis hic rerum.,False
FV-002465,BEN-01718,COHORT-PL-001,2026-05-25,Priscilla Njoroge,Verified,-1.24725,36.8898,Aliquam illum a ullam tempora repudiandae amet neque inventore.,False
FV-002466,BEN-01718,COHORT-PL-001,2026-06-21,Quinton Kimani,Verified,-1.35715,36.80755,Architecto saepe officia accusantium doloremque asperiores.,False
FV-002467,BEN-01719,COHORT-PL-001,2025-12-05,Maurice Njenga,verified,-1.31972,36.86564,Nemo doloribus quis molestiae debitis.,
FV-002468,BEN-01719,COHORT-PL-001,2026-08-06,David Omondi,Partially Verified,-1.30877,36.83169,Error iure assumenda nihil fugit ab.,
FV-002469,BEN-01720,COHORT-PL-001,2025-11-17,Lilian Maina,Referred,-1.24213,36.79575,In accusantium minus itaque omnis.,True
FV-002470,BEN-01720,COHORT-PL-001,2026-01-05,Irene Simiyu,No Contact,-1.26976,36.88126,Id id unde quibusdam rerum amet voluptate sit.,True
FV-002471,BEN-01721,COHORT-PL-001,2026-01-04,Rose Mugo,No Contact,-1.21498,36.87051,Eligendi provident quae explicabo accusamus eveniet iure dicta.,False
FV-002472,BEN-01722,COHORT-PL-001,2025-12-26,Zipporah Chebet,Verified,-1.26816,36.90004,At repudiandae omnis similique perferendis dignissimos sint dicta illum.,True
FV-002473,BEN-01723,COHORT-PL-001,2026-08-06,Irene Kiplagat,Verified,-1.26749,36.91064,Officia recusandae ea quae.,False
FV-002474,BEN-01723,COHORT-PL-001,2025-11-25,Patrick Wangari,Verified,-1.25557,36.88881,Error vel quaerat harum eius repellendus blanditiis quibusdam itaque.,
FV-002475,BEN-01724,COHORT-PL-001,2026-03-23,Dennis Maina,Referred,-1.20701,36.81819,Iusto tempora minima labore in ullam adipisci similique dignissimos.,
FV-002476,BEN-01724,COHORT-PL-001,2026-02-13,Felix Kiprotich,Verified,-1.29391,36.90674,Non debitis voluptate reprehenderit sunt repellat labore.,True
FV-002477,BEN-01724,COHORT-PL-001,2026-06-05,Mary Odongo,Verified,-1.23,36.72172,Aut mollitia accusantium assumenda sed nulla natus cupiditate.,False
FV-002478,BEN-01725,COHORT-PL-001,2026-01-25,Owen Auma,Partially Verified,-1.34212,36.9112,Aliquam cumque nam ipsum eaque eaque.,True
FV-002479,BEN-01725,COHORT-PL-001,2026-04-08,Leonard Wangari,Verified,-1.32581,36.76637,Cumque eaque incidunt excepturi deserunt reprehenderit nemo ipsum quis.,False
FV-002480,BEN-01725,COHORT-PL-001,2026-03-10,Patrick Njoroge,Verified,-1.33215,36.80602,Cumque soluta quo fuga.,True
FV-002481,BEN-01726,COHORT-PL-001,2025-11-26,Violet Simiyu,Verified,-1.18721,36.9099,Fugiat quis in necessitatibus eligendi iusto dicta.,True
